ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar visualizacion de pantalla pre login con accesos directos y opciones de autenticacion;;;;Por Analizar;Integracion;Positiva;Azure AD B2C disponible y operativo. Custom policy B2C_1A_SIGNUP_SIGNIN desplegada. Variables de entorno de frontend configuradas. Servicios de accesos directos disponibles.;El usuario visualiza la pantalla pre login con accesos directos y las opciones Ingresar y Registrarme.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Observar la seccion de accesos directos;Se visualizan los accesos directos Paga tu factura, Reportar danos, Oficinas, Identificanos e Informacion.;;;;;;;;;;;
;;;3;Observar las opciones de autenticacion;Se visualizan las opciones Ingresar y Registrarme.;;;;;;;;;;;
;Test Case;Validar acceso directo Paga tu factura sin autenticacion;;;;Por Analizar;Integracion;Positiva;Servicios de accesos directos disponibles.;El usuario accede al enlace Paga tu factura sin autenticarse y es redirigido a la URL externa configurada.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar el acceso directo Paga tu factura;El sistema redirige al usuario a la URL externa https://sites.placetopay.com/essa/login.;;;;;;;;;;;
;Test Case;Validar acceso directo Reportar danos sin autenticacion;;;;Por Analizar;Integracion;Positiva;Servicios de accesos directos disponibles. Flujo ESD-44 implementado para reporte sin cuenta.;El usuario accede a Reportar danos sin autenticarse y navega al flujo sin cuenta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar el acceso directo Reportar danos;El sistema redirige al usuario a la funcionalidad de reporte de dano sin cuenta definida para ESD-44.;;;;;;;;;;;
;Test Case;Validar acceso directo Oficinas sin opcion de pedir turno;;;;Por Analizar;Integracion;Positiva;Servicios de accesos directos disponibles. Funcionalidades ESD-74 y ESD-75 disponibles.;El usuario accede a Oficinas sin autenticarse y visualiza la funcionalidad sin opcion de pedir turno.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar el acceso directo Oficinas;El sistema redirige al usuario a la funcionalidad de oficinas.;;;;;;;;;;;
;;;3;Observar las opciones disponibles en la funcionalidad Oficinas;No se visualiza la opcion de pedir un turno.;;;;;;;;;;;
;Test Case;Validar acceso directo Identificanos sin autenticacion;;;;Por Analizar;Integracion;Positiva;Servicios de accesos directos disponibles. Funcionalidad ESD-49 disponible.;El usuario accede a Identificanos sin autenticarse y navega a la funcionalidad correspondiente.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar el acceso directo Identificanos;El sistema redirige al usuario a la funcionalidad definida en ESD-49.;;;;;;;;;;;
;Test Case;Validar acceso directo Informacion sin autenticacion;;;;Por Analizar;Integracion;Positiva;Servicios de accesos directos disponibles. Funcionalidad ESD-51 disponible.;El usuario accede a Informacion sin autenticarse y navega a la funcionalidad correspondiente.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar el acceso directo Informacion;El sistema redirige al usuario a la funcionalidad definida en ESD-51.;;;;;;;;;;;
;Test Case;Validar redireccion a B2C desde la opcion Ingresar;;;;Por Analizar;Integracion;Positiva;Azure AD B2C disponible y operativo. Custom policy B2C_1A_SIGNUP_SIGNIN desplegada. Redirect URI registrado como SPA.;El usuario es redirigido al flujo de autenticacion B2C al seleccionar Ingresar.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar la opcion Ingresar;El sistema redirige al usuario al flujo de autenticacion gestionado por Azure AD B2C mediante un enlace embebido.;;;;;;;;;;;
;Test Case;Validar redireccion a B2C desde la opcion Registrarme;;;;Por Analizar;Integracion;Positiva;Azure AD B2C disponible y operativo. Custom policy B2C_1A_SIGNUP_SIGNIN desplegada. Redirect URI registrado como SPA.;El usuario es redirigido al flujo de autenticacion B2C al seleccionar Registrarme.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar la opcion Registrarme;El sistema redirige al usuario al flujo de autenticacion gestionado por Azure AD B2C mediante un enlace embebido.;;;;;;;;;;;
;Test Case;Validar envio del atributo de compania ESSA durante la redireccion a B2C;;;;Por Analizar;Integracion;Positiva;Azure AD B2C disponible y operativo. Parametrizacion del atributo de compania ESSA configurada.;El flujo de autenticacion envia el atributo que identifica a ESSA como compania consumidora del servicio B2C.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar a la aplicacion web de la oficina virtual ESSA;Se visualiza la pantalla previa al inicio de sesion.;;;;;;;;;;;
;;;2;Seleccionar la opcion Ingresar;El sistema inicia la redireccion al flujo B2C.;;;;;;;;;;;
;;;3;Inspeccionar la solicitud enviada al servicio B2C;La solicitud incluye el atributo parametrizado que identifica a ESSA como compania consumidora del servicio.;;;;;;;;;;;
