ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar redireccion obligatoria a Actualizar datos en primer inicio;;;;Por Analizar;Integracion;Positiva;Usuario con credenciales validas, marcado como primer inicio de sesion y con acceso a Oficina Virtual ESSA.;El sistema redirige de forma obligatoria a Actualizar datos y bloquea el acceso a otras secciones hasta finalizar o cancelar.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El usuario queda digitado;;;;;;;;;;;
;;;3;Ingresar contrasena valida;La contrasena queda digitada;;;;;;;;;;;
;;;4;Activar captcha;El captcha queda validado;;;;;;;;;;;
;;;5;Seleccionar el boton Ingresar;Se visualiza el home de la Oficina Virtual;;;;;;;;;;;
;;;6;Validar la redireccion automatica al primer inicio;El sistema redirige obligatoriamente a la pantalla Actualizar datos del usuario;;;;;;;;;;;
;;;7;Intentar acceder a otra seccion del portal sin finalizar el proceso;El acceso a otras secciones permanece bloqueado hasta finalizar o cancelar el proceso;;;;;;;;;;;
;Test Case;Validar acceso posterior por Menu a Actualizar datos;;;;Por Analizar;Integracion;Positiva;Usuario con credenciales validas y con primer inicio ya completado.;El usuario accede a la funcionalidad mediante la ruta Menu, Mi perfil, Actualizar datos.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El usuario queda digitado;;;;;;;;;;;
;;;3;Ingresar contrasena valida;La contrasena queda digitada;;;;;;;;;;;
;;;4;Activar captcha;El captcha queda validado;;;;;;;;;;;
;;;5;Seleccionar el boton Ingresar;Se visualiza el home de la Oficina Virtual;;;;;;;;;;;
;;;6;Seleccionar la opcion Menu;Se despliega el menu de navegacion;;;;;;;;;;;
;;;7;Seleccionar Mi perfil;Se visualizan las opciones del perfil;;;;;;;;;;;
;;;8;Seleccionar Actualizar datos;Se visualiza el formulario Actualizar datos con la informacion actual precargada;;;;;;;;;;;
;Test Case;Validar datos precargados y campos no editables para Persona Natural;;;;Por Analizar;Integracion;Positiva;Usuario tipo Persona Natural con datos registrados y con acceso al formulario Actualizar datos.;El formulario muestra datos actuales precargados y los campos definidos como no editables no permiten modificacion.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido de Persona Natural;El usuario queda digitado;;;;;;;;;;;
;;;3;Ingresar contrasena valida;La contrasena queda digitada;;;;;;;;;;;
;;;4;Activar captcha;El captcha queda validado;;;;;;;;;;;
;;;5;Seleccionar el boton Ingresar;Se visualiza el home de la Oficina Virtual;;;;;;;;;;;
;;;6;Navegar por Menu, Mi perfil, Actualizar datos;Se visualiza el formulario Actualizar datos;;;;;;;;;;;
;;;7;Seleccionar el tipo de persona Persona Natural;Se visualizan los campos correspondientes a Persona Natural;;;;;;;;;;;
