ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;WEB - Validar visualizacion de Financiacion express cuando el usuario cumple condicion financiera y existen opciones validas;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con sesion activa valida, con al menos una factura vencida o deuda vigente vencida. Servicios Creditos/Opciones disponible.;El home muestra la accion Financiacion express solo para usuarios elegibles con opciones validas.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web de Oficina Virtual ESSA;Se visualiza la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Autenticarse con credenciales validas de un usuario con deuda vencida;El sistema inicia sesion y muestra el home Gestion de facturacion;;;;;;;;;;;
;;;3;Esperar la evaluacion de condicion financiera del usuario;El sistema valida que existe al menos una factura vencida o deuda vigente con fecha limite de pago superada;;;;;;;;;;;
;;;4;Permitir la consulta del servicio Creditos Opciones para el usuario elegible;El servicio retorna opciones validas con atributo lisCuotas;;;;;;;;;;;
;;;5;Visualizar las acciones disponibles en el home;Se muestra el elemento de accion Financiacion express;;;;;;;;;;;
;Test Case;WEB - Validar ocultamiento de Financiacion express cuando el usuario no cumple condicion financiera;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con sesion activa valida sin facturas vencidas ni deuda vigente vencida.;El home no muestra la accion Financiacion express para usuarios no elegibles.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web de Oficina Virtual ESSA;Se visualiza la pantalla de inicio de sesion;;;;;;;;;;;
;;;2;Autenticarse con credenciales validas de un usuario sin deuda vencida;El sistema inicia sesion y muestra el home Gestion de facturacion;;;;;;;;;;;
;;;3;Esperar la evaluacion de condicion financiera del usuario;El sistema valida que no existen facturas vencidas ni deuda vigente vencida con fecha limite superada;;;;;;;;;;;
;;;4;Visualizar las acciones disponibles en el home;No se muestra el elemento de accion Financiacion express;;;;;;;;;;;
