ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar acceso a Cambiar contrasena desde Mi perfil;;;;Por Analizar;Integracion;Positiva;PRE-01 Usuario autenticado con sesion activa, PRE-03 acceso a Mi perfil habilitado.;El usuario autenticado accede a la opcion Cambiar contrasena desde Mi perfil.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web Oficina Virtual ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar el boton Ingresar;Se visualiza la pantalla Home;;;;;;;;;;;
;;;5;Seleccionar el menu principal;Se despliega el menu de opciones;;;;;;;;;;;
;;;6;Seleccionar la opcion Mi perfil;Se visualiza la seccion Mi perfil;;;;;;;;;;;
;;;7;Validar la opcion Cambiar contrasena;La opcion Cambiar contrasena esta visible y habilitada para el usuario autenticado;;;;;;;;;;;
;Test Case;Validar redireccion al flujo embebido de B2C al seleccionar Cambiar contrasena;;;;Por Analizar;Integracion;Positiva;PRE-01 Usuario autenticado con sesion activa, PRE-02 servicio B2C disponible, PRE-03 acceso a Mi perfil habilitado.;El sistema redirige al flujo embebido de B2C para cambio de contrasena.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web Oficina Virtual ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar el boton Ingresar;Se visualiza la pantalla Home;;;;;;;;;;;
;;;5;Navegar a Menu Mi perfil Cambiar contrasena;Se visualiza la opcion Cambiar contrasena;;;;;;;;;;;
;;;6;Seleccionar Cambiar contrasena;Se carga el flujo embebido de cambio de contrasena gestionado por B2C dentro de la Oficina Virtual;;;;;;;;;;;
;Test Case;Validar envio del identificador de compania ESSA al servicio B2C;;;;Por Analizar;Integracion;Positiva;PRE-01 Usuario autenticado con sesion activa, PRE-02 servicio B2C disponible.;La solicitud al servicio B2C incluye el identificador de compania ESSA.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web Oficina Virtual ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar el boton Ingresar;Se visualiza la pantalla Home;;;;;;;;;;;
;;;5;Navegar a Menu Mi perfil Cambiar contrasena;Se visualiza la opcion Cambiar contrasena;;;;;;;;;;;
;;;6;Seleccionar Cambiar contrasena;Se invoca la solicitud al flujo de B2C;;;;;;;;;;;
;;;7;Inspeccionar la solicitud enviada al servicio B2C;La solicitud contiene el atributo identificador de compania con valor ESSA;;;;;;;;;;;
;Test Case;Validar que la Oficina Virtual delega en B2C las validaciones de contrasena;;;;Por Analizar;Integracion;Positiva;PRE-01 Usuario autenticado con sesion activa, PRE-02 servicio B2C disponible.;La Oficina Virtual delega en B2C las validaciones de contrasena sin aplicar reglas propias.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web Oficina Virtual ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar el boton Ingresar;Se visualiza la pantalla Home;;;;;;;;;;;
;;;5;Navegar a Menu Mi perfil Cambiar contrasena;Se visualiza la opcion Cambiar contrasena;;;;;;;;;;;
;;;6;Seleccionar Cambiar contrasena;Se visualiza el flujo embebido de B2C;;;;;;;;;;;
;;;7;Ingresar en B2C una nueva contrasena que incumpla una politica del proveedor;B2C muestra la validacion correspondiente y la Oficina Virtual no presenta validaciones propias adicionales;;;;;;;;;;;
;Test Case;Validar mensaje informativo de confirmacion cuando el cambio es exitoso;;;;Por Analizar;Integracion;Positiva;PRE-01 Usuario autenticado con sesion activa, PRE-02 servicio B2C disponible.;El usuario visualiza el mensaje informativo de cambio de contrasena exitoso.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web Oficina Virtual ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar el boton Ingresar;Se visualiza la pantalla Home;;;;;;;;;;;
;;;5;Navegar a Menu Mi perfil Cambiar contrasena;Se visualiza la opcion Cambiar contrasena;;;;;;;;;;;
;;;6;Completar en B2C el cambio de contrasena con datos validos;B2C confirma el cambio de contrasena;;;;;;;;;;;
;;;7;Validar el mensaje posterior en la Oficina Virtual;Se muestra un mensaje informativo indicando que la contrasena fue actualizada correctamente;;;;;;;;;;;
