ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Acceder a Visualizar reportes que afecten mis cuentas desde Buscar un reporte;;;;Por Analizar;Integracion;Positiva;PRE-01 El usuario esta autenticado en la Oficina Virtual ESSA con sesion activa y valida, PRE-02 El usuario tiene al menos una cuenta inscrita y asociada a su perfil, PRE-04 El usuario accedio previamente a la funcionalidad Buscar un reporte.;El usuario autenticado accede a la funcionalidad desde Buscar un reporte y visualiza el punto de entrada habilitado.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas.;Se visualiza la pantalla de inicio de sesion.;;;;;;;;;;;
;;;2;Autenticarse con un usuario que tenga cuentas asociadas en su perfil.;El sistema inicia sesion y muestra la Oficina Virtual ESSA.;;;;;;;;;;;
;;;3;Navegar por el menu Danos y PQR, Danos y emergencias, Buscar un reporte.;Se visualiza la funcionalidad Buscar un reporte.;;;;;;;;;;;
;;;4;Ubicar la opcion Visualizar reportes que afecten mis cuentas.;El punto de acceso se muestra visible y accesible para el usuario autenticado.;;;;;;;;;;;
;;;5;Seleccionar la opcion Visualizar reportes que afecten mis cuentas.;El sistema redirige a la pantalla de consulta de reportes que afectan las cuentas del usuario.;;;;;;;;;;;
;Test Case;Consultar automaticamente todas las cuentas asociadas al usuario autenticado al ingresar a la funcionalidad;;;;Por Analizar;Integracion;Positiva;PRE-01 El usuario esta autenticado en la Oficina Virtual ESSA con sesion activa y valida, PRE-02 El usuario tiene al menos una cuenta inscrita y asociada a su perfil, PRE-05 Los numeros de cuenta del usuario estan correctamente registrados en el sistema.;El sistema identifica automaticamente todas las cuentas del perfil sin solicitar ingreso manual al usuario.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas.;Se visualiza la pantalla de inicio de sesion.;;;;;;;;;;;
;;;2;Autenticarse con un usuario que tenga multiples cuentas asociadas en su perfil.;El sistema inicia sesion y muestra la Oficina Virtual ESSA.;;;;;;;;;;;
;;;3;Navegar desde Buscar un reporte hasta Visualizar reportes que afecten mis cuentas.;Se visualiza la pantalla de la funcionalidad.;;;;;;;;;;;
;;;4;Observar el comportamiento al cargar la pantalla sin ingresar datos manuales.;El sistema identifica automaticamente todas las cuentas asociadas al perfil autenticado.;;;;;;;;;;;
;;;5;Validar que no exista campo editable para capturar numeros de cuenta manualmente.;La consulta se realiza con las cuentas del perfil y no requiere intervencion manual del usuario.;;;;;;;;;;;
;Test Case;Ejecutar una consulta individual a SP7 por cada cuenta asociada del usuario;;;;Por Analizar;Integracion;Positiva;PRE-01 El usuario esta autenticado en la Oficina Virtual ESSA con sesion activa y valida, PRE-02 El usuario tiene al menos una cuenta inscrita y asociada a su perfil, PRE-03 El servicio SP7 Consulta por CUD esta disponible y operativo.;El sistema consume SP7 de forma individual por cada cuenta asociada al perfil del usuario.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas.;Se visualiza la pantalla de inicio de sesion.;;;;;;;;;;;
;;;2;Autenticarse con un usuario que tenga varias cuentas asociadas en su perfil.;El sistema inicia sesion y muestra la Oficina Virtual ESSA.;;;;;;;;;;;
;;;3;Navegar desde Buscar un reporte hasta Visualizar reportes que afecten mis cuentas.;Se visualiza la pantalla de la funcionalidad.;;;;;;;;;;;
;;;4;Esperar la ejecucion de la consulta automatica de reportes.;El sistema invoca el servicio SP7 Consulta por CUD una vez por cada numero de cuenta asociado al usuario.;;;;;;;;;;;
;;;5;Revisar el resultado consolidado en pantalla para las cuentas consultadas.;La informacion presentada corresponde a las consultas individuales ejecutadas para cada cuenta.;;;;;;;;;;;
;Test Case;Mostrar reportes de danos activos no programados vigentes dentro del rango del dia;;;;Por Analizar;Integracion;Positiva;PRE-01 El usuario esta autenticado en la Oficina Virtual ESSA con sesion activa y valida, PRE-02 El usuario tiene al menos una cuenta inscrita y asociada a su perfil, PRE-03 El servicio SP7 Consulta por CUD esta disponible y operativo.;El sistema muestra los danos cuyo estado y tipo cumplen la regla de negocio y cuya fecha fin probable esta vigente durante el dia consultado.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas.;Se visualiza la pantalla de inicio de sesion.;;;;;;;;;;;
;;;2;Autenticarse con un usuario que tenga una cuenta con respuesta SP7 de dano activo no programado vigente.;El sistema inicia sesion y muestra la Oficina Virtual ESSA.;;;;;;;;;;;
;;;3;Navegar desde Buscar un reporte hasta Visualizar reportes que afecten mis cuentas.;Se visualiza la pantalla de la funcionalidad.;;;;;;;;;;;
;;;4;Permitir que el sistema consulte SP7 y procese la respuesta de la cuenta.;El sistema filtra e incluye solo el registro con Estado Activo, Tipo No programado y FechaFinProbable entre la fecha hora actual y las 23 59 59 del mismo dia.;;;;;;;;;;;
