ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar acceso a Ver en mapa desde Afectaciones a mi cuenta web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la oficina virtual con al menos una cuenta asociada y afectaciones activas disponibles.;El usuario visualiza la opcion Ver en mapa y accede a la pantalla geografica conservando la cuenta seleccionada.;ESSA\Oficina virtual ESSA;ESSA;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar Ingresar;El usuario accede al home autenticado;;;;;;;;;;;
;;;5;Navegar a Danos y PQR - Danos y emergencias - Mis reportes - Afectaciones a mi cuenta;Se visualiza la funcionalidad Afectaciones a mi cuenta;;;;;;;;;;;
;;;6;Seleccionar una cuenta con afectaciones activas;La cuenta queda seleccionada;;;;;;;;;;;
;;;7;Validar la opcion Ver en mapa;Se visualiza el elemento de accion Ver en mapa habilitado;;;;;;;;;;;
;;;8;Seleccionar Ver en mapa;El sistema redirige a la pantalla de visualizacion geografica y conserva la cuenta previamente seleccionada;;;;;;;;;;;
;Test Case;Validar Ver en mapa deshabilitado sin afectaciones web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado en la oficina virtual con una cuenta asociada sin afectaciones activas.;El usuario no puede acceder al mapa cuando la cuenta no tiene afectaciones activas.;ESSA\Oficina virtual ESSA;ESSA;ZHARYTH SALOMON;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar Ingresar;El usuario accede al home autenticado;;;;;;;;;;;
;;;5;Navegar a Danos y PQR - Danos y emergencias - Mis reportes - Afectaciones a mi cuenta;Se visualiza la funcionalidad Afectaciones a mi cuenta;;;;;;;;;;;
;;;6;Seleccionar una cuenta sin afectaciones activas;La cuenta queda seleccionada;;;;;;;;;;;
;;;7;Validar la opcion Ver en mapa;La opcion Ver en mapa se muestra deshabilitada;;;;;;;;;;;
;Test Case;Validar carga inicial del mapa y selector con cuenta previa web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con varias cuentas asociadas y una cuenta previamente seleccionada desde ESD-260.;La pantalla del mapa carga el selector obligatorio y deja seleccionada por defecto la cuenta previa.;ESSA\Oficina virtual ESSA;ESSA;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar usuario valido;El sistema acepta el usuario;;;;;;;;;;;
;;;3;Ingresar contrasena valida;El sistema acepta la contrasena;;;;;;;;;;;
;;;4;Seleccionar Ingresar;El usuario accede al home autenticado;;;;;;;;;;;
;;;5;Navegar a Danos y PQR - Danos y emergencias - Mis reportes - Afectaciones a mi cuenta;Se visualiza la funcionalidad Afectaciones a mi cuenta;;;;;;;;;;;
