ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar visualizacion de opcion Consultar estado solicitud de vinculacion en modulo Servicios;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a Oficina Virtual ESSA y al modulo Servicios.;La opcion Consultar estado solicitud de vinculacion se visualiza visible y accesible junto a Definir tipo de conexion.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios y luego a vinculacion de clientes;Se visualiza el modulo vinculacion de clientes;;;;;;;;;;;
;;;4;Observar las opciones disponibles del modulo;Se visualiza la opcion Consultar estado solicitud de vinculacion junto a Definir tipo de conexion de forma visible y accesible;;;;;;;;;;;
;Test Case;Validar redireccion a pantalla de consulta con dos campos y boton Consultar;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a Oficina Virtual ESSA y al modulo Servicios.;La opcion redirige a una pantalla de consulta con Numero de cuenta, Numero de proceso y boton Consultar.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios y luego a vinculacion de clientes;Se visualiza el modulo vinculacion de clientes;;;;;;;;;;;
;;;4;Seleccionar la opcion Consultar estado solicitud de vinculacion;El sistema redirige a la pantalla de consulta;;;;;;;;;;;
;;;5;Observar la pantalla de consulta;Se visualizan los campos Numero de cuenta y Numero de proceso y el boton Consultar;;;;;;;;;;;
;Test Case;Validar campos Numero de cuenta y Numero de proceso obligatorios en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;Los campos obligatorios vacios se resaltan visualmente y no permiten completar la consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Dejar vacios los campos Numero de cuenta y Numero de proceso;Los campos permanecen sin informacion;;;;;;;;;;;
;;;5;Intentar ejecutar la consulta con los campos vacios;Todos los campos vacios se resaltan con borde rojo acorde al UI kit y no permite continuar;;;;;;;;;;;
;Test Case;Validar solo ingreso numerico en Numero de cuenta en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de cuenta permite unicamente digitos numericos.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un valor numerico valido en el campo Numero de cuenta;El campo acepta solo digitos del 0 al 9;;;;;;;;;;;
;;;5;Retirar el foco del campo;El valor numerico permanece visible sin alteraciones;;;;;;;;;;;
;Test Case;Validar bloqueo de caracteres alfabeticos en Numero de cuenta en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de cuenta impide el ingreso de caracteres alfabeticos en tiempo real.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Intentar ingresar letras en el campo Numero de cuenta;No deja caracter especial ni alfabetico y mantiene solo digitos validos;;;;;;;;;;;
;Test Case;Validar bloqueo de caracteres especiales en Numero de cuenta en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de cuenta impide el ingreso de caracteres especiales en tiempo real.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Intentar ingresar caracteres especiales en el campo Numero de cuenta;No deja caracter especial;;;;;;;;;;;
;Test Case;Validar longitud maxima de 50 caracteres en Numero de cuenta en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de cuenta no permite exceder 50 caracteres.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar 50 digitos en el campo Numero de cuenta;El campo acepta el valor completo;;;;;;;;;;;
;;;5;Intentar ingresar un digito adicional en el campo Numero de cuenta;No permite exceder la cantidad de caracteres;;;;;;;;;;;
;Test Case;Validar solo ingreso numerico en Numero de proceso en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de proceso permite unicamente digitos numericos.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un valor numerico valido en el campo Numero de proceso;El campo acepta solo digitos del 0 al 9;;;;;;;;;;;
;;;5;Retirar el foco del campo;El valor numerico permanece visible sin alteraciones;;;;;;;;;;;
;Test Case;Validar bloqueo de caracteres alfabeticos en Numero de proceso en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de proceso impide el ingreso de caracteres alfabeticos en tiempo real.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Intentar ingresar letras en el campo Numero de proceso;No deja caracter especial ni alfabetico y mantiene solo digitos validos;;;;;;;;;;;
;Test Case;Validar bloqueo de caracteres especiales en Numero de proceso en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de proceso impide el ingreso de caracteres especiales en tiempo real.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Intentar ingresar caracteres especiales en el campo Numero de proceso;No deja caracter especial;;;;;;;;;;;
;Test Case;Validar longitud maxima de 50 caracteres en Numero de proceso en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El campo Numero de proceso no permite exceder 50 caracteres.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar 50 digitos en el campo Numero de proceso;El campo acepta el valor completo;;;;;;;;;;;
;;;5;Intentar ingresar un digito adicional en el campo Numero de proceso;No permite exceder la cantidad de caracteres;;;;;;;;;;;
;Test Case;Validar boton Consultar deshabilitado hasta completar datos validos en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion.;El boton Consultar permanece deshabilitado hasta que ambos campos contienen informacion numerica valida.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Observar el boton Consultar sin diligenciar campos;El boton Consultar se visualiza deshabilitado;;;;;;;;;;;
;;;5;Ingresar un valor numerico valido solo en uno de los campos;El boton Consultar permanece deshabilitado;;;;;;;;;;;
;;;6;Ingresar un valor numerico valido en ambos campos;El boton Consultar cambia a estado habilitado;;;;;;;;;;;
;Test Case;Validar consulta exitosa y consumo del servicio ConsultarProceso en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion. Existen datos asociados a Numero de cuenta y Numero de proceso.;La consulta consume el servicio ConsultarProceso con los parametros ingresados y retorna informacion asociada.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con informacion asociada;Los campos aceptan los valores ingresados;;;;;;;;;;;
;;;5;Seleccionar el boton Consultar;El sistema consume el servicio ConsultarProceso enviando Numero de cuenta y Numero de proceso;;;;;;;;;;;
;;;6;Esperar la respuesta del servicio;El sistema presenta los resultados estructurados en pantalla;;;;;;;;;;;
