ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar acceso a la opcion Buscar reporte desde Danos y PQR;;;;;Por Analizar;Integracion;Positiva;El usuario se encuentra en la Oficina Virtual y tiene acceso al modulo de danos y PQR. La opcion de navegacion Danos o emergencias > Buscar reporte esta disponible para el usuario.;El usuario accede a la opcion Buscar reporte desde el modulo Danos y PQR.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas;Se visualiza la pantalla Login y el usuario inicia sesion correctamente;;;;;;;;;;;
;;;2;Seleccionar el modulo Danos y PQR;Se visualizan las opciones disponibles del modulo;;;;;;;;;;;
;;;3;Seleccionar la opcion Danos o emergencias;Se visualiza la opcion Buscar reporte dentro del flujo de navegacion;;;;;;;;;;;
;;;4;Seleccionar la opcion Buscar reporte;Se visualiza la pantalla Buscar reporte;;;;;;;;;;;
;Test Case;Validar visualizacion del campo numero de radicado en Buscar reporte;;;;;Por Analizar;Integracion;Positiva;El usuario se encuentra en la Oficina Virtual y tiene acceso al modulo de danos y PQR. La opcion de navegacion Danos o emergencias > Buscar reporte esta disponible para el usuario.;La pantalla Buscar reporte muestra el campo para ingresar el numero de radicado.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas;Se visualiza la pantalla Login y el usuario inicia sesion correctamente;;;;;;;;;;;
;;;2;Navegar a Danos y PQR > Danos o emergencias > Buscar reporte;Se visualiza la pantalla Buscar reporte;;;;;;;;;;;
;;;3;Observar la interfaz de la pantalla Buscar reporte;Se visualiza el campo de busqueda para ingresar el numero de radicado del reporte;;;;;;;;;;;
;Test Case;Validar visualizacion del boton Buscar en la pantalla Buscar reporte;;;;;Por Analizar;Integracion;Positiva;El usuario se encuentra en la Oficina Virtual y tiene acceso al modulo de danos y PQR. La opcion de navegacion Danos o emergencias > Buscar reporte esta disponible para el usuario.;La pantalla Buscar reporte muestra el control de accion Buscar para ejecutar la consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas;Se visualiza la pantalla Login y el usuario inicia sesion correctamente;;;;;;;;;;;
;;;2;Navegar a Danos y PQR > Danos o emergencias > Buscar reporte;Se visualiza la pantalla Buscar reporte;;;;;;;;;;;
;;;3;Observar la interfaz de la pantalla Buscar reporte;Se visualiza el boton u opcion Buscar disponible en la pantalla;;;;;;;;;;;
;Test Case;Validar obligatoriedad del campo numero de radicado para buscar reporte;;;;;Por Analizar;Integracion;Negativa;El usuario se encuentra en la Oficina Virtual y tiene acceso al modulo de danos y PQR. La opcion de navegacion Danos o emergencias > Buscar reporte esta disponible para el usuario.;El sistema exige ingresar un numero de radicado antes de permitir la consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas;Se visualiza la pantalla Login y el usuario inicia sesion correctamente;;;;;;;;;;;
;;;2;Navegar a Danos y PQR > Danos o emergencias > Buscar reporte;Se visualiza la pantalla Buscar reporte;;;;;;;;;;;
;;;3;Dejar vacio el campo numero de radicado;El campo permanece sin informacion ingresada;;;;;;;;;;;
;;;4;Intentar ejecutar la busqueda;Todos los campos vacios se resaltan con borde rojo acorde al UI kit y no permite continuar;;;;;;;;;;;
;Test Case;Validar boton Buscar deshabilitado cuando el radicado esta vacio;;;;;Por Analizar;Integracion;Negativa;El usuario se encuentra en la Oficina Virtual y tiene acceso al modulo de danos y PQR. La opcion de navegacion Danos o emergencias > Buscar reporte esta disponible para el usuario.;El sistema no habilita la accion Buscar cuando el campo numero de radicado esta vacio.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;ZHARYTH SALOMON;Design;;1
;;;1;Ingresar al aplicativo web ESSA con credenciales validas;Se visualiza la pantalla Login y el usuario inicia sesion correctamente;;;;;;;;;;;
