ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar acceso a Mis reportes web con cuentas vinculadas;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la Oficina Virtual ESSA, con al menos una cuenta vinculada, funcionalidad Danos y PQRS > Danos y emergencias > Mis reportes habilitada, disenos UX/UI web disponibles y auditoria ESD-187 operativa.;El usuario accede a Mis reportes web y visualiza el desplegable de cuentas con busqueda y unica seleccion.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS.;Se muestra el modulo Danos y PQRS.;;;;;;;;;;;
;;;3;Seleccionar Danos y emergencias.;Se muestra el submenu Danos y emergencias.;;;;;;;;;;;
;;;4;Seleccionar la opcion Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
;;;5;Visualizar el desplegable de cuentas.;El desplegable permite busqueda, unica seleccion y lista numero de cuenta y alias de las cuentas vinculadas del usuario.;;;;;;;;;;;
;Test Case;Validar obligatoriedad de seleccionar cuenta en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado en la Oficina Virtual ESSA, con al menos una cuenta vinculada, funcionalidad Danos y PQRS > Danos y emergencias > Mis reportes habilitada y disenos UX/UI web disponibles.;El sistema exige seleccionar una cuenta antes de consultar reportes en Mis reportes web.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS > Danos y emergencias > Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
;;;3;No seleccionar ninguna cuenta en el desplegable.;La cuenta permanece sin seleccionar.;;;;;;;;;;;
;;;4;Intentar continuar con la visualizacion de reportes.;El sistema no consulta reportes y exige seleccionar una cuenta vinculada.;;;;;;;;;;;
;Test Case;Validar consulta de reportes web para cuenta seleccionada;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la Oficina Virtual ESSA, con al menos una cuenta vinculada, servicio SP7 Consulta por Trouble Ticket disponible, funcionalidad Mis reportes habilitada y auditoria ESD-187 operativa.;El sistema consulta SP7 con la cuenta seleccionada y muestra reportes web ordenados del mas reciente al mas antiguo.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS > Danos y emergencias > Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
;;;3;Buscar y seleccionar una cuenta vinculada en el desplegable.;La cuenta queda seleccionada.;;;;;;;;;;;
;;;4;Esperar la consulta de reportes para la cuenta seleccionada.;El sistema invoca el servicio SP7 Consulta por Trouble Ticket con la cuenta seleccionada.;;;;;;;;;;;
;;;5;Visualizar los reportes retornados.;Se muestran cards o filas con los reportes disponibles en orden cronologico descendente.;;;;;;;;;;;
;Test Case;Validar limite maximo de cinco reportes en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la Oficina Virtual ESSA, con una cuenta vinculada que tiene mas de cinco reportes validos en SP7 y funcionalidad Mis reportes habilitada.;La vista web muestra solo los cinco reportes mas recientes de la cuenta seleccionada.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS > Danos y emergencias > Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
;;;3;Seleccionar una cuenta con mas de cinco reportes validos.;La cuenta queda seleccionada y se consulta SP7.;;;;;;;;;;;
;;;4;Revisar la lista de reportes mostrados.;Se visualizan solo cinco reportes.;;;;;;;;;;;
;;;5;Comparar el orden de los reportes mostrados.;Los cinco reportes corresponden a los mas recientes y no se muestran registros adicionales.;;;;;;;;;;;
;Test Case;Validar mensaje cuando la cuenta no tiene reportes en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la Oficina Virtual ESSA, con una cuenta vinculada sin reportes asociados y funcionalidad Mis reportes habilitada.;El sistema informa que la cuenta no tiene reportes y centra los botones para crear un nuevo reporte.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS > Danos y emergencias > Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
;;;3;Seleccionar una cuenta vinculada sin reportes asociados.;La cuenta queda seleccionada y se consulta SP7.;;;;;;;;;;;
;;;4;Visualizar el resultado de la consulta.;No se muestra ninguna card ni listado de reportes.;;;;;;;;;;;
;;;5;Revisar el contenido de la pantalla.;Se muestra un texto informativo indicando que la cuenta no tiene reportes disponibles y los botones para crear un nuevo reporte aparecen centrados segun el diseno.;;;;;;;;;;;
;Test Case;Validar omision de reportes sin informacion suficiente en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado en la Oficina Virtual ESSA, con una cuenta vinculada cuyos ultimos reportes incluyen algunos sin informacion valida en SP7 y funcionalidad Mis reportes habilitada.;El sistema omite reportes con informacion insuficiente y continua mostrando hasta cinco reportes validos.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;zharyth salomon;Design;;1
;;;1;Ingresar a la Oficina Virtual ESSA web con credenciales validas.;Se muestra la pantalla de inicio autenticada.;;;;;;;;;;;
;;;2;Navegar a Danos y PQRS > Danos y emergencias > Mis reportes.;Se muestra la pantalla Mis reportes.;;;;;;;;;;;
